id,name,unit,region_name,indicator_topic,indicator_source,indicator_name,indicator_group,url,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
BJ,Benin,Millions of people,West Africa,Population,AfDB Data portal,Rural population (millions of people),Social and Economic,/aep/country/benin,4.23405313491821,4.34157085418701,4.44757890701294,4.5472297668457,4.64697504043579,4.74600219726563,4.84391212463379,4.94116878509521,5.03823804855347,5.13606119155884,5.23498678207397,5.3351001739502,5.43612289428711,5.53822422027588,5.64064502716064,5.74331903457642,5.84617710113525,5.94904613494873,6.05154609680176,6.15321111679077,6.25368213653564,6.35273790359497,6.45029497146606
BJ,Benin,Millions of people,West Africa,Population,AfDB Data portal,Urban population (millions of people),Social and Economic,/aep/country/benin,2.63189792633057,2.73516201972961,2.84781503677368,2.97332501411438,3.10302901268005,3.23622298240662,3.37298393249512,3.51362204551697,3.65867805480957,3.80864500999451,3.96427202224731,4.12570190429688,4.29303693771362,4.46622705459595,4.64606714248657,4.83263301849365,5.02612113952637,5.22664594650269,5.43412780761719,5.64838409423828,5.86930322647095,6.09687519073486,6.33121585845947
BW,Botswana,Current US$,Southern Africa,National Account,AfDB Data portal,GDP (current US$),Social and Economic,/aep/country/botswana,5787825664.0,5489387008.0,5438854144.0,7511924224.0,8955710464.0,9918822400.0,10137861120.0,10938004480.0,10945139712.0,10267070464.0,12786652160.0,15351906304.0,16110283776.0,14914988032.0,15662876672.0,13601822720.0,15093903360.0,16067877888.0,16914461696.0,16591972352.0,15063606272.0,18822352896.0,19952310272.0
BW,Botswana,Millions of people,Southern Africa,Population,AfDB Data portal,Rural population (millions of people),Social and Economic,/aep/country/botswana,0.808537006378174,0.806191027164459,0.808627009391785,0.811426997184753,0.81427800655365,0.817614018917084,0.821528017520905,0.805426001548767,0.789367973804474,0.773397982120514,0.757339000701904,0.741250991821289,0.736104011535645,0.732802987098694,0.729331970214844,0.725610017776489,0.721580028533936,0.717289984226227,0.712875008583069,0.708307027816772,0.703553974628448,0.698606014251709,0.693476021289825
BW,Botswana,Millions of people,Southern Africa,Population,AfDB Data portal,Urban population (millions of people),Social and Economic,/aep/country/botswana,0.919803023338318,0.948743999004364,0.971325993537903,0.992911994457245,1.01505196094513,1.03823804855347,1.06271004676819,1.10898804664612,1.15698301792145,1.20648396015167,1.25752699375153,1.31008803844452,1.3532110452652,1.3957040309906,1.43924105167389,1.48358702659607,1.52867996692657,1.57437098026276,1.62032604217529,1.66632902622223,1.71221196651459,1.75785005092621,1.80317902565002
CD,Congo Democratic Republic,Current US$,Central Africa,National Account,AfDB Data portal,GDP (current US$),Social and Economic,/aep/country/congo-democratic-republic,21584685056.0,10799729664.0,8733150208.0,8949796864.0,10297481216.0,11964484608.0,14451901440.0,16737069056.0,19788515328.0,18648373248.0,21565720576.0,25819916288.0,29318508544.0,32695367680.0,35911208960.0,37914656768.0,36639629312.0,37980577792.0,47146278912.0,50398830592.0,48706523136.0,53573619712.0,59014008832.0
CD,Congo Democratic Republic,Millions of people,Central Africa,Population,AfDB Data portal,Rural population (millions of people),Social and Economic,/aep/country/congo-democratic-republic,30.5421524047852,31.1722812652588,31.8674297332764,32.6193504333496,33.4115562438965,34.2299919128418,35.0729103088379,35.9445343017578,36.8422813415527,37.7634658813477,38.7053604125977,39.6654472351074,40.641056060791,41.6291236877441,42.6264724731445,43.6301116943359,44.6379127502441,45.6476058959961,46.6560516357422,47.6599655151367,48.6567535400391,49.6443138122559,50.6217575073242
CD,Congo Democratic Republic,Millions of people,Central Africa,Population,AfDB Data portal,Urban population (millions of people),Social and Economic,/aep/country/congo-democratic-republic,16.5342330932617,17.2220573425293,17.9683265686035,18.7706832885742,19.6226596832275,20.5214824676514,21.470100402832,22.4730281829834,23.5313262939453,24.6459712982178,25.8179016113281,27.0481510162354,28.3376274108887,29.6869087219238,31.0963878631592,32.5665092468262,34.0982398986816,35.6923828125,37.3489379882813,39.0676078796387,40.848445892334,42.6917304992676,44.5986213684082
CF,Central African Republic,Current US$,Central Africa,National Account,AfDB Data portal,GDP (current US$),Social and Economic,/aep/country/central-african-republic,960651328.0,932485184.0,995053440.0,1136210304.0,1269622016.0,1348023168.0,1460562048.0,1697565824.0,1985371904.0,2059094144.0,2140503040.0,2434792448.0,2511716096.0,1691570816.0,1895299712.0,1695995776.0,1824516224.0,2071618688.0,2278667264.0,2462253056.0,2527083776.0,2650575104.0,2805306112.0
CF,Central African Republic,Millions of people,Central Africa,Population,AfDB Data portal,Rural population (millions of people),Social and Economic,/aep/country/central-african-republic,2.34165906906128,2.38668298721313,2.43044996261597,2.47324800491333,2.51549410820007,2.5564489364624,2.59696006774902,2.63649892807007,2.67215490341187,2.70004796981812,2.71787309646606,2.72440004348755,2.72172403335571,2.71496510505676,2.71107697486877,2.71504592895508,2.72839307785034,2.74979710578918,2.77783608436584,2.81000304222107,2.84435510635376,2.88068199157715,2.9192099571228
