country,country_serial,metric,unit,sector,sub_sector,source_link,source,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Angola,AO,Electricity export (GWh),GWh,Electricity,Supply,/aep/country/angola,AFREC Database,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Angola,AO,Electricity final consumption (GWh),GWh,Electricity,Supply,/aep/country/angola,AFREC Database,1157.0,1313.0,1471.0,1629.0,1524.0,1980.0,2751.0,2625.0,3532.0,4024.0,4686.0,4875.0,5352.0,7087.0,8178.0,8384.1650390625,5744.0,9182.8955078125,11390.2568359375,11639.1669921875,11928.1416015625,12204.162109375,
Angola,AO,Electricity final consumption per capita (KWh),KWh per capita,Electricity,Supply,/aep/country/angola,AFREC Database,70.3731918334961,77.3113784790039,83.7096252441406,89.4889221191406,80.7814407348633,101.265617370605,135.768707275391,125.013748168945,162.320495605469,178.451461791992,200.520950317383,201.291900634766,213.259796142578,272.594329833984,303.78369140625,300.946716308594,199.351272583008,308.314453125,370.123687744141,366.154754638672,363.359252929688,360.063232421875,
Angola,AO,Electricity generated from biofuels and waste (GWh),GWh,Electricity,Supply,/aep/country/angola,AFREC Database,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Angola,AO,Electricity generated from fossil fuels (GWh),GWh,Electricity,Supply,/aep/country/angola,AFREC Database,533.0,587.0,634.0,754.0,752.0,906.0,294.0,720.0,796.0,999.0,1745.0,1644.0,1709.76000976563,3449.0,4439.0,4572.0,4546.0,3066.7626953125,2702.24609375,2751.80908203125,2803.5439453125,2857.484375,
Angola,AO,Electricity generated from geothermal energy (GWh),GWh,Electricity,Supply,/aep/country/angola,AFREC Database,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Angola,AO,Electricity generated from hydropower (GWh),GWh,Electricity,Supply,/aep/country/angola,AFREC Database,912.0,1017.0,1143.0,1241.0,1491.0,1747.0,2665.0,2497.0,3134.0,3173.0,3703.0,4007.0,4287.490234375,4587.6142578125,5041.0,5192.0,5815.0,7653.07666015625,10374.3203125,10754.787109375,11187.3193359375,11675.419921875,
Angola,AO,Electricity generated from nuclear power (GWh),GWh,Electricity,Supply,/aep/country/angola,AFREC Database,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Angola,AO,Electricity generated from renewable sources (GWh),GWh,Electricity,Supply,/aep/country/angola,AFREC Database,912.0,1017.0,1143.0,1241.0,1491.0,1747.0,2665.0,2497.0,3134.0,3173.0,3703.0,4007.0,4287.490234375,4587.6142578125,5041.0,5192.0,5815.0,7653.07666015625,10374.3203125,10754.787109375,11187.3193359375,11675.419921875,
Angola,AO,"Electricity generated from solar, wind, tide, wave and other sources (GWh)",GWh,Electricity,Supply,/aep/country/angola,AFREC Database,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
